,SRR9224203,SRR9224313,SRR9224314,SRR9224321,SRR9224184,SRR9224323,SRR9224322,SRR9224325,SRR9224324,SRR9224327,SRR9224187,SRR9224318,SRR9224317,SRR9224139,SRR9224138,SRR9224137,SRR9224136,SRR9224143,SRR9224142,SRR9224141,SRR9224134c,SRR9224133,SRR9224566,SRR9224004,SRR9224005,SRR9224006,SRR9224562,SRR9224563,SRR9224564,SRR9224565,SRR9224560,SRR9224561,SRR9224453,SRR9224452c,SRR9224454,SRR9224449,SRR9224448,SRR9224451,SRR9224450,SRR9224457,SRR9224456,SRR9224279,SRR9224280,SRR9224277,SRR9224278,SRR9224275,SRR9224276,SRR9224273,SRR9224274,SRR9224282,SRR9224283,SRR9224242,SRR9224241,SRR9224240,SRR9224239,SRR9224238,SRR9224237,SRR9224236,SRR9224235,SRR9224234,SRR9224233
Bacteroides_clarus_62282_A,0.04572121012,0.0415691065496,0.0425485214441,,0.0297339193434,0.054697839720900004,,,0.0371715612646,,0.0253718827268,,0.04247661619,,0.0290178424535,0.0276197156324,0.024932744416400004,0.0365042241551,0.04377193257109999,,0.0245852415557,0.0624068979971,0.0332868807731,0.0688130170186,0.087784827983,0.028386238085099998,0.0225360495453,,,0.0451902320283,,,,0.020784835723599997,0.033552692404,0.053556502003100005,0.0524388705076,0.0642052051198,0.0299289391541,0.0329602628012,0.0334105036122,0.0310344970393,0.0396656995877,0.053567609835,0.07098148133189999,0.152889613239,0.114248640533,0.08031696501569999,0.053795784930800006,0.1252309559,0.0585934654324,0.0730463244728,0.09728689507449999,0.0390918216414,,,0.032612351758,0.09049170259289999,0.1057681364,0.09773378152899999,
Bacteroides_massiliensis_44749_A,0.043611560773800004,0.023180581036200004,,0.025343889080000005,0.0264776034826,,,,0.0752793369293,0.0637478847673,0.0576878676718,0.0266559508043,0.051415017763,0.039316658123199996,0.0598733620938,0.0711440251763,0.048933458890399996,0.030669861063599996,0.0512583848304,,0.022621901245300002,0.0428962213354,0.07432027568130001,0.07886965498089998,,0.096693097596,0.0691149905709,0.0780518443098,0.07750866283310001,0.054164502243099995,0.060067295705900005,0.0990652464233,0.0581642687756,0.0494311515946,0.07668176815560002,0.0489464136427,0.04584638058999999,0.0680432479274,0.0428596844962,0.0733401742083,0.0382936252748,0.0284935757872,0.06453581647710001,0.092188352365,0.020098733294,,0.0333577809101,0.07692284260710001,0.069712825788,0.0327599237224,0.06705005232200001,0.0755667377274,0.0837495009123,0.0436611735917,,0.0266322803417,0.07213652202660001,0.0606401106755,0.042996705996500004,0.046906169080400004,
Paraprevotella_clara_33712_A,0.0211766974145,0.0230452362161,0.0265209769806,0.014546950658,0.0392784888118,0.0140038148238,,0.028191730623499996,0.0223250482479,0.0222819450268,0.014301159660200001,,0.0203291500457,0.022851758768599996,0.031014065939999995,0.026853506247,0.040496845873500005,0.047290990741300006,0.0267252527655,,0.05540993186919999,0.050354108597499996,0.0327356006871,0.0323771197074,,0.020402107140099997,0.0305060851683,0.0419535076506,0.0362186970936,0.0633589281112,0.0394874455452,0.036347173006300006,0.042418662460699995,0.0436250060831,0.0192429531686,0.0259719005392,0.040678797725,0.0307169770652,0.046874060972999995,0.0183568116724,0.036967714210900005,0.032514818428400004,0.033399867256400005,0.019022684598099998,,0.0138211366029,0.021829373449,0.024337918559500002,0.0356096309469,0.0267509958684,0.015899332430700002,,,0.0238293071123,,,0.0204687572161,0.0267366279287,0.032096933857299996,0.045553629258500004,
Bacteroides_xylanisolvens_57185_A,0.06462682691430001,0.0307737979698,0.057765372313599996,0.021270591127999998,0.028469422906,0.0189306396845,,0.0401288724123,0.0722066348025,0.032808854734099994,0.0446958949517,,0.058028996634999996,0.0424054323577,0.0365421510316,0.032736756143299996,0.041028049518300004,0.0534412210494,0.0461393005798,0.10946252603800001,0.038480191826300005,0.0952621533475,0.0636408736723,0.0626861672885,,0.0319807111227,0.07364673445460002,0.0591022721831,0.06080198455540001,0.0671503863791,0.0307751690114,0.0376641816204,0.053610869849699996,0.08370838126539999,0.051626177802599996,0.038004025868300005,0.06996988613739999,0.07450218183469999,0.0723551157246,0.0559326144608,0.0520886836379,0.0607723413255,0.0469609379296,0.103212401954,0.13548612237,0.156804331823,0.10163940026,0.07060891285280001,0.0898260159715,0.0943395184471,0.09343153882099998,0.0622411380881,0.110187146947,0.052655993306599994,,0.0338138785163,0.08161702741610001,0.0726001993145,0.06393787336680001,0.0744825728381,
Ruminococcus_bromii_62047_A,0.028532617418400002,0.0486942868851,0.0704966303294,0.0178954589935,0.0377271841882,0.0407118567262,,0.0631522423372,,0.0394886963674,0.012064341608500001,0.0150214124741,0.0318333089735,0.047754153287199994,0.02677898554,,,0.0267686687721,,,0.0330121591657,,0.018340257122400002,,,0.014895223136,0.0170575908153,0.032099670120099996,0.0382547249161,,0.07528643670599999,,,0.0295395296777,0.0284390496402,0.0601106142753,0.0159658419269,0.0234155604018,0.05398710511680001,0.0410041012747,0.0502928797856,0.056630999110000003,,0.0663236862326,,,0.0342820619696,0.023001001704,,,0.0196710715305,0.051364201101,,,,0.0829363626526,,0.010222183616200002,0.0230349100715,0.015063113852200001,
Sutterella_wadsworthensis_56828_A,0.0055225894935857145,0.00456062808576,,0.0071935508123733335,0.0040259418881454555,0.0038169122885499994,,,0.004829087098363637,0.00736477522185,0.0033706227735833334,0.0039766859725,0.004441661231309091,0.004104779619628571,0.0038629372187400004,0.0041823746284,0.0037623331399090918,0.003635427181727273,,,0.0059071717434375,,0.005748905919835714,0.0064848893669250006,,0.008005850371854546,0.005560249482986667,,0.006332378516517647,,0.009289129227694445,0.009248880398826665,,0.004671880218772727,0.005201539116329411,0.006524816966807142,0.00540955659032,,,0.006502627357361539,0.006757832537222222,0.008625949460625,0.008016213780000002,0.0051932551751,0.00621220971315,0.006415830998666666,0.010051503049794118,0.00500510824385,,0.005986161116213333,0.005899556183788234,,,,,0.007333891873660001,0.00540825108395,0.00386897442276,0.00291634910122,0.004400740789800001,
Sutterella_wadsworthensis_56828_B,0.020249494809814285,0.01824251234304,,0.01978226473402667,0.018116738496654548,0.01908456144275,,,0.02173089194263636,0.03191402596135,0.01685311386791667,0.019883429862500003,0.019987475540890906,0.02462867771777143,0.015451748874960002,0.0167294985136,0.01693049912959091,0.016359422317772727,,,0.022447252625062503,,0.021079321706064285,0.019454668100775,,0.021348934324945456,0.015290686078213335,,0.020580230178682355,,0.024151735992005555,0.025434421096773335,,0.01588439274382727,0.01690500212807059,0.023924328878292857,0.02163822636128,,,0.02167542452453846,0.017570364596777775,0.025877848381875002,0.020040534450000005,0.0155797655253,0.01863662913945,0.017643535246333334,0.024123607319505882,0.015015324731550001,,0.016461943069586666,0.019173557597311763,,,,,0.029335567494640002,0.01622475325185,0.01547589769104,0.01166539640488,0.017602963159200003,
Bacteroides_uniformis_57318_A,0.05282003178607714,0.057710664195228065,0.005014110661275,0.055759847233431255,0.020102875378553334,0.015935128431761543,,0.004511271976450001,0.03997522525172222,0.0312892105388,0.03668114950336765,,0.05335457432412858,0.02608252938869333,0.09509203154071429,0.07780391680207142,0.13098338256204545,0.04719504062994,0.026143584386173337,,0.00880355981742,0.07049037247295453,0.04974842780774462,0.056363324636519996,0.10341747299057143,0.05279196560041667,0.08728812895266,0.10206329899164288,0.12887649347250002,0.052376809034303445,0.04182735214030455,0.07588822346448573,0.08454548794146001,0.09600942645411766,0.06746606153896217,0.067258153843,0.05438022289263529,0.06825359755057499,0.05737085007680001,0.05659688886159131,0.048620680165124996,0.050176072077000006,0.054709590592038455,0.08854241034778948,0.08264956368125,0.0929101890526875,0.08675248118314814,0.07681919438481818,0.06836213138454547,0.015852170526588234,0.021362167769400003,0.02232978167181176,0.06567380025493572,0.03639030483214,,,0.06447578959780001,0.08113100614960715,0.05266484495431201,0.030214384846733326,
Bacteroides_uniformis_57318_B,0.04448002676722286,0.02452703228297193,0.035098774628924995,0.01286765705386875,0.022974714718346667,0.05311709477253846,,0.04060144778805,0.07072539852227777,0.0312892105388,0.04646278937093236,,0.023917567800471433,0.022822213215106666,0.03803681261628571,0.01830680395342857,0.038524524282954546,0.020226445984260003,0.02987838215562667,,0.03521423926968,0.032895507154045454,0.060315213663255374,0.03757554975768,0.017236245498428577,0.010558393120083331,0.009698680994739998,0.00785102299935714,0.0085917662315,0.016665348329096552,0.006604318758995455,0.005837555651114284,0.013006998144839998,0.013847513430882353,0.01305794739463784,0.013451630768599997,0.011652904905564709,0.017961473039625,0.014342712519199998,0.015721358017108684,0.016206893388375,0.0200704288308,0.024315373596461538,0.016601701940210534,0.03636580801975001,0.017205590565312498,0.01508738803185185,0.007681919438481811,0.00683621313845454,0.05151955421141177,0.021362167769400003,0.01984869481938823,0.017911036433164287,0.015595844928060003,,,0.018421654170799998,0.035364797552392864,0.020480773037788006,0.015107192423366667,
Eubacterium_rectale_56927_A,0.03647204037173572,0.10627011050633767,0.09608266221015,0.19224448002156524,0.1542778832435294,0.126905767911,0.13257614647933336,0.11578076225081081,0.08336210776061666,0.20116063440138296,0.09601405938733333,0.18800767027612905,0.08066175947415555,0.0766215761801739,0.0580796162582353,0.051305964637890916,0.0188419303844,0.09569412354972413,0.04164834582725,0.04300023463936364,0.13028917383882355,0.03541965444719322,0.08646313105914893,0.04141029070901667,0.05240129511626087,0.10145407641076923,0.0459046752916,0.062437762295533335,0.06395184620620001,0.03492259551858823,0.09552491914289653,0.046205332259870585,0.1130763767547931,0.09396744686411765,0.12821422778104227,0.11967657352416665,0.07951999952336364,0.08607693760857144,0.07743387320200001,0.11398525714999999,0.15042443981599998,0.10741347372926828,0.0956410898575,0.03972661513525384,0.05093427306285714,0.040496830928255324,0.061244930824312496,0.072759050045925,0.06035292926697142,0.030517464979919993,0.07408111647088374,0.11563767440142858,0.048806804671477265,0.09999259429411765,,0.3164289625845,0.036201329164200005,0.07392628054395001,0.09063511234598334,0.07855168958367584,
Eubacterium_rectale_56927_B,0.020262244650964285,0.045263195215662334,0.07861308726284999,0.053401244450434746,0.13713589621647057,0.07809585717599998,0.06628807323966665,0.09841364791318917,0.007578373432783336,0.018712617153617023,0.04800702969366667,0.10340421865187098,0.017440380426844447,0.07023644483182609,0.0209086618529647,0.01923973673920909,0.023552412980500006,0.02496368440427586,0.04164834582725,0.00955560769763636,0.09120242168717647,0.05554932505200679,0.04899577426685106,0.05415191861948333,0.05716504921773912,0.030436222923230758,0.06885701293739999,0.031218881147766657,0.03197592310309999,0.03928791995841177,0.06742935468910345,0.014217025310729416,0.043076714954206896,0.06577721280488236,0.031491213840957745,0.023935314704833323,0.04543999972763636,0.03443077504342857,0.116150809803,0.022797051429999993,0.042978411375999996,0.0687446231867317,0.019128217971499994,0.017656273393446154,0.01591696033214286,0.07146499575574469,0.0476349461966875,0.024253016681975,0.018860290395928573,0.02034497665328,0.039686312395116274,0.04625506976057143,0.11638545729352273,0.06999481600588235,,0.07216800901050001,0.006033554860699997,0.008214031171549998,0.00823955566781667,0.009063656490424156,
Bacteroides_vulgatus_57955_A,0.07822838655591892,0.05464578213833334,0.056743102446272724,0.047364493775,0.06061572436869298,0.0638299135097,0.045786498194166664,0.046604445732000004,0.039025796765,0.0586331824425,0.0564875690245125,0.024815585573172413,0.056567338542867475,0.07480699873636364,0.06823939438468422,0.07399075636939759,0.060392601319534896,0.044608846362080005,0.04835118080153846,,0.05606805990577528,0.009267826669363639,0.041942414637701486,0.0462443917440625,0.01599064800525,0.06524745791383017,0.05012977068721311,0.054148136671465515,0.03570348658540037,0.09013998853358,0.06219329705608791,0.03010294013773334,0.023444817415942034,0.035819486127277776,0.054801228563199994,0.061253219143200005,0.05621361306108695,0.032354218200750004,0.03398115445375,0.06527348726860001,0.06601257524899999,0.06401725198871794,0.09013893899274628,0.027705466449827586,0.06987485144442857,0.03433029671438462,0.034422294297837844,0.03436625834267143,0.0245375236025,0.026927959821999997,0.0439125679377,0.028707865344615384,0.01455572893011111,0.030213746663076923,,0.010272455711210526,0.025341593371347827,0.02596887068848387,0.021495815755,0.0158919886592,
Bacteroides_vulgatus_57955_B,0.016877261239469386,0.011572047982235297,0.016004464792538465,0.012630531673333336,0.015373064689724143,0.016366644489666668,0.016159940539117647,0.01331555592342857,0.010927223094200002,0.01628699512291667,0.014346049276066667,0.00822459407568,0.012723818696634148,0.017888630132608697,0.016006771522333336,0.01705897994072222,0.015457630099642856,0.010862543757000001,0.019507200530275864,,0.015683784174795178,0.005365583861210527,0.01433745806492857,0.015855220026535714,0.006888279140723077,0.0240146893710625,0.021842257227999998,0.018620110238804347,0.013327864339846151,0.02541541030082143,0.013871544196333331,0.010751050049190476,0.012646589440333587,0.013078108525172414,0.021862192245957448,0.026251379632800005,0.023243381580314602,0.016698951329419356,0.01739835108032,0.022902977988982456,0.020628929765312498,0.01752051107059649,0.022203341590125002,0.008240600277384614,0.020380165004625,0.011157346432175,0.009648673401666667,0.01572312473194118,0.018844818126720002,0.010916740468378377,0.015571832602021283,0.012608184104054057,0.010077043105461531,0.016985025151135136,,0.010009059410923078,0.014172806019234041,0.011709599874079999,0.009518572009158498,0.01203938534787879,
Bacteroides_vulgatus_57955_C,0.1826036558384787,0.13066051191882094,0.13603795073657696,0.13116321353076923,0.14860629200066666,0.12234737520144263,0.21499746978130438,0.174766671495,0.062441274824,0.12263149269019609,0.14458127786035938,0.07151820935373912,0.1908572804495122,0.18286155246666672,0.1572093631657738,0.2155336504048942,0.1409160697455814,0.18304541820306383,0.30171136820160005,,0.14463934294533334,0.08835328091460001,0.1419758042527073,0.08704826681235295,0.024422080589836366,0.28916656892165976,0.21789848363674197,0.2080823618777119,0.2079146837016,0.13142743705109464,0.25571890170631884,0.4081263999442693,0.28432169484424247,0.13612685676271144,0.16993650203492308,0.16483424420595352,0.15940024525541094,0.19522332408735552,0.16122575933898686,0.2311769340762917,0.1760335339973333,0.16838026046334884,0.2413042406775849,0.12243177554971427,0.0815206600185,0.04909232430157,0.0733299178526667,0.20277409137055172,0.1807787785412093,0.09617128507857142,0.22664551193651614,0.18660112474,0.10564641965403225,0.2583132778635762,,0.10781186851194287,0.2833503531755821,0.10245899889819998,0.07328119007386365,0.168852379504,
Barnesiella_intestinihominis_62208_A,0.0148698632454,0.012499115289700002,,,,,,,0.0232122808049,,0.0140687184176,,0.022345026774300003,,0.018366512505599997,0.022061987638099998,0.0239335048639,0.013941407268299998,,,,0.017510704496900002,,0.0183719279736,0.0415963330397,,0.011754675195899998,,,,,,,0.0146957343127,0.0123973012231,,0.0111636237422,0.00787916232718,,,,,,0.0235409333454,0.0269118672278,0.032174573552299995,0.0164700328683,0.00936726685716,,0.03647644995780001,0.0150686616035,0.014094773123,0.0291282296458,,,,0.013792330918000001,0.0254172364895,0.037587921471099996,0.0196090785846,
